readID,score,taxid,superkingdom,phylum,class,order,family,genus,species
99043329-6236-401d-a60f-fed088ce64d6,3.61e-09,6183,Eukaryota,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Schistosoma,Schistosoma mansoni
98196673-fde8-4723-9364-8a3ab814d66d,2.80e-145,1896961,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp. AA4
97493914-9348-4e02-8e88-afb30fe08b01,7.36e-38,73044,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces seoulensis
95975142-ba04-4017-a6df-b8e36379f6ef,7.41e-133,904039,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. NEB 688
93958871-0c86-4144-8019-10f14492878a,3.03e-04,2797167,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. HSG2
93665560-b077-46e9-8f7a-8a9282b97a18,9.21e-30,1163617,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuricella,Sulfuricella denitrificans
93601358-648b-4bb2-bf22-f2f15acc7e82,0.014,2714923,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. HDW3
90598539-9841-4fa2-96a1-246dde39dae4,0.17,72004,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus
88772916-94b4-4adf-a816-91411f626af5,0.002,2653853,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. SCB32
87481424-3a14-4c32-99e2-eaeb9cb8c740,1.09e-26,2493680,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1
82922854-a7d7-4b48-928c-fe14ac3704e5,0.0,67304,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseorubiginosus
82576105-7c9f-4eb8-b2c5-99390642f2da,2.44e-24,2170745,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Auritidibacter,Auritidibacter sp. NML130574
81831671-57c9-4357-b170-da5287908a81,1.06e-17,266117,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus
81255462-f18b-4d58-9a1d-6dda0833b776,5.06e-14,2681603,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Muvirus,Escherichia virus Mu
80536342-2ba2-4721-b6ff-486c0ec1a09d,1.82e-15,162426,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium hominis
78553335-c55d-4f98-9b3b-afed9359758d,1.49e-81,2760089,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides dongkuii
76364069-5560-499c-96c1-e68e0092d26c,4.32e-04,326645,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia childiae
73268058-b6f7-4e46-a320-a69bd5e6e898,1.65e-24,77133,Bacteria,<missing>,<missing>,<missing>,<missing>,<missing>,uncultured bacterium
70906445-e1c6-42f7-b30e-3747efb7b8f4,1.64e-18,2819979,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. zg-ZUI157
69036954-3850-4e20-b826-1ab37998ec5c,3.23e-14,1128330,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
67358973-67e0-4712-b393-e424f53bc404,0.0,1172567,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces globisporus
65166427-2464-43ef-bc2d-d217f88b8ff4,3.30e-14,1325100,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. CCBAU 51753
